id,source,relation,target
546,12611,hypernym,1000111
547,12627,hypernym,1000025
548,12693,hypernym,12695
549,12695,hypernym,1000172
550,12710,hypernym,1000128
551,12737,hypernym,1000156
552,12739,hypernym,12737
553,12741,hypernym,12737
554,12742,hypernym,12739
555,12743,hypernym,12737
556,12745,hypernym,18712
557,12812,hypernym,1000112
558,12813,hypernym,1000062
559,12815,hypernym,1000108
560,12844,hypernym,1000108
561,12847,hypernym,1000025
562,12855,hypernym,18136
563,12862,hypernym,1000038
564,12894,hypernym,18136
565,12965,hypernym,1000133
566,12968,hypernym,1000115
567,12970,hypernym,1000172
568,12972,hypernym,1000115
569,12973,hypernym,1000115
570,12974,hypernym,12972
571,12981,hypernym,1000161
572,12983,hypernym,1000108
573,12984,hypernym,12988
574,12985,hypernym,1000108
575,12986,hypernym,1000108
576,12987,hypernym,1000108
577,12988,hypernym,1000108
578,12989,hypernym,12983
579,12990,hypernym,1000108
580,13025,hypernym,11425
581,13029,hypernym,7647
582,13030,hypernym,7647
583,13031,hypernym,1000167
584,13386,hypernym,1000029
585,13428,hypernym,1000025
586,13430,hypernym,1000066
587,13442,hypernym,9075
588,13448,hypernym,1000176
589,13693,hypernym,1000039
590,13828,hypernym,1000108
591,13836,hypernym,1000122
592,13839,hypernym,1000121
593,13843,hypernym,1000121
594,13870,hypernym,1000010
595,13871,hypernym,1000128
596,14033,hypernym,1000025
597,14073,hypernym,1000175
598,14100,hypernym,1000108
599,14146,hypernym,1000025
600,14201,hypernym,1000087
601,14288,hypernym,1000108
602,14306,hypernym,1000147
603,14309,hypernym,1000148
604,14353,hypernym,1000018
605,14420,hypernym,1000116
606,14423,hypernym,1000058
607,14425,hypernym,1000116
608,14426,hypernym,1000132
609,14431,hypernym,1000116
610,14436,hypernym,1000116
611,14440,hypernym,7413
612,14445,hypernym,1000116
613,14446,hypernym,14431
614,14447,hypernym,1000116
615,14448,hypernym,1000116
616,14451,hypernym,1000116
617,14453,hypernym,1000058
618,14454,hypernym,14453
619,14465,hypernym,1000119
620,14476,hypernym,1000116
621,14481,hypernym,1000116
622,14482,hypernym,1000116
623,14483,hypernym,14423
624,14484,hypernym,1000116
625,14502,hypernym,1000180
626,14516,hypernym,18712
627,14517,hypernym,1000108
628,14546,hypernym,1000136
629,14563,hypernym,766
630,14587,hypernym,1000125
631,14595,hypernym,1000126
632,14656,hypernym,1000108
633,14663,hypernym,1000025
634,14664,hypernym,14663
635,14665,hypernym,14663
636,14666,hypernym,14663
637,14667,hypernym,14663
638,14668,hypernym,14663
639,14735,hypernym,1000104
640,14803,hypernym,14502
641,14826,hypernym,1000127
642,14853,hypernym,1000129
643,14860,hypernym,1000127
644,14925,hypernym,1000144
645,15044,hypernym,1000108
646,15055,hypernym,1000108
647,15132,hypernym,1000172
648,15160,hypernym,773
649,15166,hypernym,1000108
650,15331,hypernym,18709
651,15333,hypernym,787
652,15523,hypernym,11618
653,15597,hypernym,1000108
654,15603,hypernym,1000026
655,15613,hypernym,1000116
656,15615,hypernym,1000181
657,15649,hypernym,1000026
658,15670,hypernym,1000145
659,15795,hypernym,16047
660,15796,hypernym,1000026
661,15810,hypernym,12984
662,15833,hypernym,1000025
663,15835,hypernym,18712
664,15836,hypernym,15833
665,15839,hypernym,18711
666,15845,hypernym,1000025
667,15846,hypernym,15833
668,15854,hypernym,15833
669,15857,hypernym,15833
670,15859,hypernym,15833
671,15863,hypernym,15833
672,15904,hypernym,11425
673,15914,hypernym,722
674,15921,hypernym,1000142
675,15939,hypernym,1000109
676,15997,hypernym,16047
677,16000,hypernym,12053
678,16001,hypernym,1000108
679,16002,hypernym,16001
680,16047,hypernym,1000047
681,16049,hypernym,1236
682,16050,hypernym,1000172
683,16051,hypernym,16047
684,16052,hypernym,16047
685,16053,hypernym,16047
686,16054,hypernym,16047
687,16056,hypernym,16047
688,16057,hypernym,16047
689,16058,hypernym,16047
690,16059,hypernym,16047
691,16060,hypernym,16047
692,16061,hypernym,16047
693,16062,hypernym,16047
694,16063,hypernym,16047
695,16064,hypernym,16047
696,16065,hypernym,16047
697,16066,hypernym,16047
698,16067,hypernym,16047
699,16068,hypernym,16047
